        RA       DEC                     NAME      S1400    e_S1400    P1400  POLANG   e_P1400  e_POLANG       S74        e_S74     3CNAME         S600      P600      BETA     GAMMA
  17.21067  13.30872                   3C_33S    12.8783   0.305592  0.98329    66.1  0.003651       0.0     96.53     7.335973    3C__33S    23.012301  0.234412 -0.685102  0.000000
  76.17204  38.12031                   3C_134     9.3675   0.191889  0.41406   -23.8  0.002715       1.6    192.26    19.320000     3C_134    22.376550  0.048191 -1.027699  0.000000
 320.93579  25.06967  2MASX_J21234458+2504272    11.4884   0.361975  0.45073   -33.6  0.000796       0.0    112.59    11.430000   3C_433.0    22.177664  0.088784 -0.776289  0.000000
 341.45537  39.68947                   3C_452    10.5566   0.200386  0.05975    67.1  0.008418       3.4    131.43     9.494130   3C_452.0    21.833883  0.009926 -0.857682  0.000000
 333.60850 -17.03900  2MASX_J22142575-1701362     8.9135   0.230196  0.19768    -1.4  0.001111       0.1    164.15    16.620000     3C_444    20.637271  0.024853 -0.990834  0.000000
 280.61221  79.75481    ICRF_J184208.9+794617    11.5559   0.280571  0.89421   -11.3  0.005078       0.0     85.48     5.200058   3C_390.3    20.570756  0.215192 -0.680604  0.000000
  10.78662  52.05956                    3C_20    11.5340   0.373700  0.20226   -63.7  0.000830       0.1     73.89     7.510000   3C__20.0    19.698270  0.053920 -0.631692  0.000000
  59.74046  10.45497                   2C_349    10.5670   0.243089  0.43416    89.0  0.005074       0.1     88.05     6.515773     3C__98    19.467133  0.095989 -0.721106  0.000000
 184.89612   5.83094                 NGC_4261    10.2588   0.193322  1.09256   -20.9  0.022893       0.3     85.19     6.057805   3C_270.0    18.880728  0.242145 -0.719943  0.000000
 286.90004   7.14383                  3C_397W    12.0546   0.191754  0.01457    64.6  0.022907      16.0     55.67     4.046987    3C_397W    18.734398  0.004903 -0.520378  0.000000
 316.85792 -25.42103           ?210725-252515    10.0078   0.166674  0.23158    46.6  0.010087       0.3     82.52     4.679605       NONE    18.381276  0.051584 -0.717537  0.000000
 202.78462  30.50900                   3C_286    14.9027   0.447100  0.99990    35.0  0.000470       0.0     30.26     3.080000     3C_286    18.277234  0.603946 -0.240900  0.000000
 240.63262   1.96339                   3C_327     8.1001   0.213035  0.74875    18.1  0.002914       0.0    114.12     9.222158   3C_327.0    17.360925  0.113906 -0.899737  0.000000
 226.24346  26.02581                   VV_204     7.6134   0.145393  0.17267   -44.7  0.024939       0.5    129.86    12.950000     3C_310    17.241992  0.022926 -0.964759  0.000000
 305.02712  29.70361                   3C_410     9.2708   0.244415  0.06079   -66.7  0.001080       0.5     69.49     7.090000     3C_410    16.566055  0.014492 -0.685103  0.000000
 140.29992  45.66550                   3C_219     8.1016   0.163904  0.36107    11.9  0.002206       0.3     77.43     5.587074   3C_219.0    15.526921  0.072405 -0.767751  0.000000
 146.94696   7.42050  2MASX_J09474514+0725204     7.6170   0.148351  0.80159    77.9  0.003036       0.1     78.18     5.752113     3C_227    14.901308  0.152785 -0.792008  0.000000
 319.57779  60.80386                   3C_430     7.8026   0.241200  0.07105   -80.2  0.001950       0.3     72.14     7.280000   3C_430.0    14.811656  0.014588 -0.756472  0.000000
 328.96737  38.00811  2MASX_J21555232+3800285     6.8536   0.155936  0.04126   -83.0  0.000764       0.5     81.56     8.160000     3C_438    13.991809  0.007078 -0.842322  0.000000
 214.78408   6.47675                 3C_298.0     6.1003   0.183000  0.01538    15.6  0.000440       0.6     99.61     9.960000     3C_298    13.642702  0.002106 -0.949922  0.000000
 194.04646  -5.78892                3C_279C15     9.7112   0.291300  0.24948   -24.1  0.000450       0.0     30.63     3.060000  3C_279C15    13.521932  0.110136 -0.390693  0.000000
 229.18575   7.02169                 UGC_9799     5.4993   0.209100  0.00853   -76.5  0.000640       1.2    121.65    12.440000     3C_317    13.423139  0.000941 -1.053182  0.000000
  71.16071 -28.17022           ?044438-281012     6.7371   0.156311  0.29410    83.8  0.001085       0.1     69.48     7.000000       NONE    13.198101  0.055866 -0.793633  0.000000
 193.65933 -12.55578                   3C_278     7.1249   0.173515  0.36637    -5.6  0.007508       0.1     56.83     5.680000     3C_278    12.961634  0.083561 -0.706243  0.000000
  51.83021  55.34139                   3C_86B     8.1422   0.240092  0.07195   -71.0  0.000872       0.2     40.14     4.090000    3C__86B    12.894472  0.023113 -0.542593  0.000000
  13.99471  68.37189                    3C_27     7.2358   0.237800  0.27332   -47.7  0.000800       0.0     49.11     4.980000   3C__27.0    12.564974  0.069930 -0.651332  0.000000
  35.84021  42.99219                 UGC_1841     7.0123   0.131212  0.15994    15.7  0.011116       0.5     52.30     3.101919    3C__66B    12.512347  0.038264 -0.683408  0.000000
 242.41250  65.94781                 3C_330G2     6.9075   0.164356  0.25526    -8.2  0.000661       0.0     53.01     5.360000     3C_330    12.427146  0.059841 -0.693116  0.000000
 280.35183  -1.88194           ?184124-015255     5.8658   0.133311  0.01226   -40.9  0.007278       4.8     79.26     5.673667       NONE    12.421694  0.001921 -0.885528  0.000000
 135.44837 -25.92206           ?090147-255519     6.2527   0.200400  0.10395    42.1  0.000990       0.1     62.40     6.330000       NONE    12.133714  0.020213 -0.782457  0.000000
 343.49042  16.14817                 3C_454.3    12.6568   0.379700  0.67108    60.4  0.000420       0.0     10.91     1.130000   3C_454.3    12.126529  0.745909  0.050512  0.000000
 279.60846  17.21139                 3C_386.0     7.3257   0.163377  0.33844    22.0  0.020475       0.3     39.16     3.900000   3C_386.0    11.875250  0.102632 -0.570127  0.000000
 224.78179  71.67219    ICRF_J145907.5+714019     7.4684   0.224100  0.09113    39.9  0.000440       0.1     36.70     3.670000   3C_309.1    11.816443  0.029341 -0.541499  0.000000
 150.44471  28.78236  2MASX_J10014950+2847089     5.5970   0.137794  0.33691   -66.9  0.001337       0.1     70.88     7.120000   3C_234.0    11.633065  0.055295 -0.863475  0.000000
  35.70142  86.31425                  3C_61.1     5.4782   0.132735  0.54900    42.9  0.002764       0.0     71.75     7.190000   3C__61.1    11.497110  0.087971 -0.874921  0.000000
  47.10942   4.11189                 NGC_1218     7.5688   0.195840  1.29271   -72.0  0.032272       0.1     31.35     3.170000   3C__78.0    11.399745  0.470066 -0.483368  0.000000
 281.62033  -2.98311          IRAS_18430-0310     5.9634   0.136360  0.01825   -65.4  0.006831       3.3     55.96     5.640000     3C_389    11.368839  0.003708 -0.761521  0.000000
   9.58504  -2.12789                    3C_17     6.1878   0.239100  0.01260     6.7  0.000580       0.8     47.44     4.870000     3C__17    11.129183  0.002956 -0.692780  0.000000
  68.15171  41.64142                   2C_396     9.8317   0.295000  0.01616    49.9  0.000500       0.6     14.59     1.460000   3C_119.0    11.016166  0.012202 -0.134253  0.000000
 354.59342  27.04272                 NGC_7720     5.2050   0.117628  0.11164   -51.8  0.005785       0.5     69.54     3.605149   3C_465.0    10.986478  0.017638 -0.881680  0.000000
 152.00017   7.50450                 3C_237.0     6.5221   0.195700  0.00841    24.5  0.000440       1.0     37.79     3.850000     3C_237    10.820971  0.002408 -0.597534  0.000000
 336.44700  -4.95053                   3C_446     7.4106   0.261600  0.33051   -64.0  0.000530       0.0     25.64     2.570000     3C_446    10.597450  0.136605 -0.422168  0.000000
  62.01883  42.99917                   3C_103     5.0251   0.125454  0.13860   -53.4  0.000858       0.1     64.21     6.480000   3C_103.0    10.471393  0.022603 -0.866521  0.000000
  57.91437 -27.73456           ?035139-274404     5.3402   0.104986  0.53593   -73.8  0.006556       0.2     54.35     4.282289       NONE    10.421745  0.102766 -0.789134  0.000000
  75.74396  25.27347                   3C_133     5.7702   0.203100  0.10569   -73.2  0.000530       0.1     44.67     4.550000   3C_133.0    10.407179  0.024624 -0.696082  0.000000
 180.08004  73.01269                 3C_268.1     6.6761   0.171305  0.07048   -19.5  0.000687       0.1     30.87     3.090000   3C_268.1    10.379273  0.023697 -0.520805  0.000000
  93.45562  26.07706                 3C_154.0     5.0000   0.166000  0.02069    85.8  0.000790       0.6     60.86     6.160000     3C_154    10.274254  0.003493 -0.850000  0.000000
  47.49900  17.09983                  3C_79.0     4.8665   0.149300  0.15711   -16.4  0.001860       0.1     61.71     6.220000     3C__79    10.118589  0.025761 -0.863922  0.000000
   6.45487 -26.03689           ?002549-260212     8.7533   0.262600  0.00935   -39.6  0.000460       0.9     14.17     1.440000       NONE    10.056773  0.006636 -0.163833  0.000000
  80.29137  16.63950    ICRF_J052109.8+163822     8.6029   0.258100  0.61898   -11.1  0.000500       0.0     14.63     1.590000     3C_138    10.025341  0.424162 -0.180594  0.000000
 121.40683  24.16025                 3C_192.0     5.2200   0.119654  0.30864   -38.2  0.003832       0.1     50.13     5.030000     3C_192    10.018138  0.061680 -0.769387  0.000000
 194.23908  47.33883                  2C_1066     5.0996   0.180200  0.08871     9.0  0.000420       0.1     51.76     5.270000     3C_280     9.944383  0.017043 -0.788207  0.000000
 298.05450   2.50731                 3C_403.0     5.2086   0.132608  0.20581   -68.0  0.001561       0.1     48.28     4.850000   3C_403.0     9.894754  0.042180 -0.757341  0.000000
 247.15975  39.55000                 3C_338.0     3.6787   0.123300 -0.00024     NaN  0.001660       NaN    112.38    11.310000   3C_338.0     9.854647 -0.000021 -1.162972  0.000000
 278.77908  32.70400                  2E_4097     5.4868   0.131189  0.22711   -56.3  0.002693       0.2     41.86     3.073760   3C_382.0     9.854459  0.053465 -0.691113  0.000000
 281.01017  45.55892                  2E_4125     5.5968   0.185400  0.03036   -27.6  0.000670       0.3     39.85     4.120000     3C_388     9.853953  0.007507 -0.667625  0.000000
 349.14662   4.08828                  2C_1883     4.6756   0.165200  0.10373    -5.3  0.000480       0.1     58.20     5.910000   3C_459.0     9.669852  0.017235 -0.857615  0.000000
 186.26575  12.87644                     M_84     6.0128   0.145056  0.40433    -4.3  0.002270       0.1     28.69     2.980000   3C_272.1     9.433039  0.132940 -0.531487  0.000000
 250.74487  39.81028                   3C_345     7.0986   0.213000  0.34928    85.7  0.000450       0.0     18.70     1.900000     3C_345     9.384288  0.175280 -0.329446  0.000000
 145.56396  13.76378                  3C_225B     4.6749   0.107871  0.03946    51.8  0.000594       0.2     51.25     4.129939    3C_225B     9.320894  0.007177 -0.814413  0.000000
 258.32987 -25.05639           ?171319-250323     7.2171   0.160751  0.53579    57.5  0.008563       0.2     17.36     2.180000       NONE     9.294230  0.286852 -0.298526  0.000000
 176.27179  19.61050                 NGC_3862     5.3216   0.130872  0.06369   -34.4  0.018361       0.6     35.45     3.550000   3C_264.0     9.191371  0.016513 -0.644981  0.000000
 357.72771  64.67186                 3C_468.1     4.9471   0.148400  0.00623   -48.7  0.000510       1.6     42.09     4.410000   3C_468.1     9.168730  0.001357 -0.728194  0.000000
 128.72879  55.57250           ?083454+553421     8.2831   0.248500  0.00852    54.1  0.000460       1.0     11.51     1.150000       NONE     9.106864  0.006741 -0.111898  0.000000
 309.65421  51.32031                 3C_418.0     6.0808   0.182400  0.02561   -19.9  0.000570       0.4     23.72     2.440000   3C_418.0     9.001603  0.009719 -0.462962  0.000000
 241.18871   1.29769                 3C_327.1     4.0753   0.122300  0.01495   -51.6  0.000500       0.6     63.50     6.350000   3C_327.1     8.991826  0.002117 -0.933995  0.000000
 202.65704  25.15306                   3C_287     7.0522   0.211600  0.04556    29.9  0.000390       0.2     16.05     1.610000     3C_287     8.938167  0.025372 -0.279702  0.000000
  24.09679  20.94928                   2E_437     3.9007   0.099125  0.06069    -7.0  0.000637       0.1     67.10     6.760000   3C__47.0     8.855493  0.008010 -0.967643  0.000000
 197.91371 -22.27811                   3C_283     4.0930   0.122800  0.01401    22.0  0.000480       0.7     58.51     5.950000     3C_283     8.809366  0.002109 -0.904685  0.000000
  61.85600   3.67981  2MASX_J04071644+0342262     5.5632   0.110649  0.28916    81.7  0.007630       0.2     27.36     2.047071   3C_105.0     8.804112  0.093048 -0.541776  0.000000
  14.39229  -1.38289                  UGC_595     5.3654   0.131703  0.74777   -10.3  0.001795       0.0     29.02     2.930000     3C__29     8.727020  0.224873 -0.574123  0.000000
 281.40687   9.89567                 3C_390.0     4.5096   0.135300  0.02020    80.8  0.000600       0.6     44.49     4.530000     3C_390     8.722187  0.003960 -0.778547  0.000000
 295.10404  60.69294                   3C_401     5.0657   0.178800  0.01393    11.0  0.000440       0.6     32.54     3.310000   3C_401.0     8.658157  0.003706 -0.632611  0.000000
  83.68546  19.45603           ?053444+192721     7.0192   0.210600  0.00703    70.1  0.000610       1.7     14.52     1.560000       NONE     8.654863  0.004190 -0.247224  0.000000
  51.99587   2.56997                 UGC_2748     5.2442   0.115429  0.24362   -38.0  0.007867       0.2     29.36     2.141121   3C__88.0     8.615103  0.071485 -0.585856  0.000000
  20.11300 -15.33803                    3C_38     5.0817   0.179400  0.03444   -50.0  0.000440       0.2     30.82     3.130000     3C__38     8.542867  0.009546 -0.613067  0.000000
 148.96617  69.67947                     M_82     6.2039   0.209000  0.00310    68.3  0.000570       3.1     18.36     1.860000     3C_231     8.481209  0.001432 -0.369026  0.000000
  39.43242 -19.54317           ?023743-193235     4.6158   0.153100  0.13512    12.6  0.000660       0.1     37.76     3.830000       NONE     8.458511  0.030268 -0.714847  0.000000
  72.26617  45.02678                  32P_131     4.0013   0.125100  0.01886    71.2  0.005270       1.7     53.68     3.528243   3C_129.1     8.455842  0.002971 -0.883088  0.000000
  33.89742 -12.99153  2MASX_J02153739-1259298     4.6799   0.122141  0.26787   -51.3  0.000681       0.1     35.48     3.580000     3C__62     8.390013  0.063344 -0.688973  0.000000
 227.73762   7.85689                   3C_313     3.7991   0.093721  0.16449    63.9  0.000835       0.1     59.13     5.940000   3C_313.0     8.379704  0.023311 -0.933613  0.000000
 316.03058  76.55222                 3C_427.1     3.8903   0.132400  0.00544   -26.8  0.000590       1.9     55.26     5.670000   3C_427.1     8.357771  0.000823 -0.902523  0.000000
  10.20979  10.05647                  3C_18.0     4.6023   0.147600  0.03431   -76.5  0.000920       0.4     36.04     3.660000   3C__18.0     8.328247  0.007928 -0.699986  0.000000
 122.21933 -10.47267                   3C_195     4.2561   0.111637  0.15299   -78.1  0.001301       0.1     43.66     4.400000     3C_195     8.324979  0.029172 -0.791820  0.000000
 158.39112  58.24386                    UMA_B     4.1879   0.130800  0.09972   -68.0  0.001200       0.1     45.25     4.590000   3C_244.1     8.315076  0.018324 -0.809480  0.000000
  17.07162 -16.07344                    2C_92     4.2013   0.130500  0.01905    21.5  0.001390       0.8     44.44     4.490000     3C__32     8.290737  0.003554 -0.802250  0.000000
 137.38971  42.89650                  2E_2098     4.2338   0.127000  0.01016    70.0  0.000390       0.8     40.56     4.060000     3C_216     8.119728  0.002034 -0.768557  0.000000
 331.54304 -18.59417           ?220610-183539     6.3984   0.192000  0.01474   -31.7  0.000490       0.6     14.48     1.500000       NONE     8.096331  0.008242 -0.277781  0.000000
